topology,instance_id,bidder_count,feasible_count,infeasible_count,feasible_fraction,mechanism,horizon_ms,opt_value,winner_id,winner_value,payment,welfare_ratio,revenue_ratio,decision_time_ms,clearing_latency_ms,effective_welfare,compute_time_s,clique_number_w,eps_ms
STARLINK-200,7,1000,953,47,0.953,LIA_lambda0.25_per_s,69.45258962948427,999.4870727492671,434,997.3076172167553,997.2746610899949,0.9978194259916571,0.9977864529521261,69.68332150422465,69.67809912673428,990.382721012904,0.0002311250427737832,953,0.0
STARLINK-200,7,1000,953,47,0.953,LIA_lambda0.5_per_s,69.45258962948427,999.4870727492671,434,997.3076172167553,995.6507288766862,0.9978194259916571,0.9961616873522653,69.64357149258684,69.63834911509647,990.3866577931968,0.00019137503113597631,953,0.0
STARLINK-200,7,1000,953,47,0.953,LIA_lambda1_per_s,69.45258962948427,999.4870727492671,937,989.9512803553529,987.6899360935694,0.9904593139282089,0.988196809166078,69.63711346902382,69.63189109153345,983.082006164289,0.00018491700757294893,953,0.0
STARLINK-200,7,1000,953,47,0.953,LIA_lambda2_per_s,69.45258962948427,999.4870727492671,937,989.9512803553529,988.3214448598773,0.9904593139282089,0.9888286420166729,69.62794646092188,69.6227240834315,983.0829073567736,0.00017574999947100878,953,0.0
STARLINK-200,8,1000,954,46,0.954,SyncVCG,69.45258962948427,999.2766209665211,218,999.2766209665211,999.0076436979645,1.0,0.9997308280180752,69.52863165204033,69.52837968393536,992.3529101471916,7.604202255606651e-05,954,0.0
STARLINK-200,8,1000,954,46,0.954,HoldBack,69.45258962948427,999.2766209665211,218,999.2766209665211,999.0076436979645,1.0,0.9997308280180752,69.50621460125402,69.50596263314904,992.3551347122434,5.362497176975012e-05,954,0.0
STARLINK-200,8,1000,954,46,0.954,LIA_lambda0.25_per_s,69.45258962948427,999.2766209665211,803,997.3521664308703,997.3455443544109,0.998074152346535,0.9980675254763366,69.62921822021373,69.62896625210875,990.4318271598206,0.00017779204063117504,954,0.0
STARLINK-200,8,1000,954,46,0.954,LIA_lambda0.5_per_s,69.45258962948427,999.2766209665211,875,996.9149924690665,996.4912428122495,0.9976366619133245,0.9972126055029912,69.63350917256095,69.63325720445597,989.9972618189568,0.00018208299297839403,954,0.0
STARLINK-200,8,1000,954,46,0.954,LIA_lambda1_per_s,69.45258962948427,999.2766209665211,875,996.9149924690665,995.6310623508617,0.9976366619133245,0.9963518023546539,69.65263411446132,69.65238214635635,989.9953684567558,0.00020120793487876654,954,0.0
STARLINK-200,8,1000,954,46,0.954,LIA_lambda2_per_s,69.45258962948427,999.2766209665211,875,996.9149924690665,993.9129283343411,0.9976366619133245,0.9946324245762979,69.6458422117553,69.64559024365032,989.9960408522064,0.0001944160321727395,954,0.0
